number x y demand
1 -1 -8 21
2 9 -2 30
3 -36 11 9
4 4 -11 15
5 7 -2 30
6 -7 -14 18
7 -39 23 19
8 -33 -28 16
9 -14 26 27
10 2 35 7
11 -45 -37 29
12 -22 1 5
13 8 3 11
14 -10 33 14
15 24 -18 17
16 44 -10 24
17 -9 36 22
18 -41 1 53
19 39 48 28
20 -42 -15 28
21 -27 -4 29
22 -22 30 22
23 43 -17 30
24 -4 -9 9
25 1 11 22
26 -24 -4 19
27 -48 41 25
28 24 28 12
29 45 -26 20
30 -42 43 10
31 30 3 2
32 4 -15 8
33 17 8 16
34 45 -20 28
35 38 -48 2
36 -46 -31 7
37 -31 14 22
38 33 31 7
39 -45 -26 20
40 33 -1 14
41 27 35 28
42 -3 50 15
43 -41 -3 19
44 -43 2 20
45 -24 34 11
46 -46 -38 7
47 42 -20 12
48 17 -17 37
49 -9 31 56
50 0 36 21
51 -50 -25 17
52 -11 -32 20
53 47 12 29
54 12 -36 28
55 -37 28 9
56 -46 -36 14
57 40 -42 25
58 0 34 28
59 14 -36 52
60 -21 48 15
61 -33 -17 12
62 16 -10 29
63 22 -36 16
64 -46 1 12
65 29 30 10
66 16 49 20
67 -4 43 14
68 2 33 46
69 10 1 26
70 22 -17 16
71 -10 -48 10
72 -26 -38 26
73 -6 5 15
74 -6 6 26
75 50 15 22
76 13 -49 21
77 -34 -46 9
78 49 38 19
79 11 -27 32
80 -31 41 17
81 39 -23 4
82 16 15 15
83 34 41 22
84 32 -22 30
85 -4 -25 6
86 21 32 6
87 -49 -1 5
88 20 -13 45
89 -36 21 15
90 10 -4 16
91 -8 -46 46
92 24 44 19
93 22 -40 17
94 43 -24 40
95 30 -50 37
96 -9 -35 13
97 20 9 18
98 0 -18 6
99 50 45 9
100 41 20 20
101 42 39 5
102 -49 -17 14
103 31 -47 16
104 22 41 28
105 25 -45 2
106 -17 -8 61
107 -15 14 9
108 10 5 9
109 40 50 7
110 36 44 23
111 -9 -23 21
112 32 -14 29
113 -48 40 16
114 25 37 7
115 -20 13 29
116 13 22 21
117 3 13 10
118 -19 -34 9
119 -46 19 38
120 48 -27 30
121 19 -5 29
122 -5 11 20
123 11 36 6
124 21 -5 20
125 -26 28 28
126 -36 -4 25
127 33 2 24
128 -10 -48 3
129 -14 -4 26
130 22 -36 16
131 -3 45 25
132 -22 42 13
133 8 -34 24
134 -23 50 30
135 -21 39 28
136 -18 -44 26
137 -24 11 8
138 6 -21 44
139 15 22 12
140 16 -3 29
141 -45 9 3
142 18 -11 12
143 26 -10 5
144 -34 -28 27
145 35 5 5
146 38 29 3
147 41 28 12
148 3 -7 55
149 -32 44 8
150 -15 -30 22
