number x y demand
1 45 -5 35
2 -30 -18 35
3 -16 6 9
4 27 -10 38
5 5 5 26
6 49 39 49
7 -18 -48 3
8 -33 17 1
9 -26 14 38
10 -20 -7 15
11 -37 25 8
12 14 46 4
13 49 28 38
14 -5 32 20
15 6 -9 59
16 26 21 41
17 11 -8 22
18 -9 12 9
19 -26 -22 7
20 31 -39 1
21 14 21 55
22 -3 15 38
23 -5 -40 45
24 33 -17 12
25 -27 -16 44
26 -35 23 46
27 -21 -25 32
28 3 16 6
29 -27 -25 16
30 6 -47 17
31 48 6 29
32 38 33 6
33 46 39 18
34 25 29 68
35 49 -11 21
36 45 -27 3
37 29 -45 24
38 -12 42 4
39 -31 39 48
40 18 29 28
41 44 -23 32
42 30 -14 17
43 -44 28 24
44 -32 43 17
45 -15 -1 32
46 -27 -23 48
47 -15 -48 10
48 -29 37 13
49 -5 5 96
50 -30 -35 7
51 -19 -31 40
52 48 24 78
53 -9 -29 19
54 -4 -18 45
55 11 4 13
56 -4 -11 25
57 40 -19 20
58 -13 14 31
59 34 -39 71
60 -29 42 32
61 -18 21 44
62 23 -26 33
63 -35 -44 29
64 -40 35 9
65 -30 26 38
66 2 43 32
67 12 44 7
68 27 13 67
69 29 -48 44
70 2 21 49
71 -33 16 45
72 2 6 7
73 -24 -2 2
74 -28 -35 40
75 -1 -43 22
76 48 11 26
77 -21 -16 6
78 -10 -6 50
79 -9 -18 11
80 -36 13 6
81 7 8 82
82 6 41 49
83 30 -8 8
84 16 -33 21
85 -3 13 80
86 40 9 2
87 -13 -43 30
88 10 -25 22
89 31 -42 12
90 -47 -17 11
91 -7 -49 27
92 24 -13 27
93 -8 33 7
94 13 45 86
95 -38 47 22
96 17 46 42
97 36 29 16
98 -8 28 29
99 -29 19 26
100 -24 50 10
101 20 -36 14
102 -38 -8 41
103 -21 8 23
104 8 31 10
105 7 30 41
106 -8 -28 1
107 -10 -7 45
108 43 18 46
109 9 21 98
110 14 -44 48
111 -50 33 3
112 -40 45 2
113 7 27 40
114 -38 -21 31
115 6 -42 4
116 11 -50 13
117 -16 13 5
118 -30 10 43
119 27 -11 17
120 -46 -1 48
121 -3 0 35
122 -16 37 30
123 43 -21 3
124 -41 4 49
125 48 -48 36
126 10 8 67
127 41 -28 30
128 42 10 27
129 31 -41 85
130 13 -36 8
131 -20 38 33
132 41 -48 11
133 21 -48 10
134 -23 13 21
135 0 -20 30
136 16 -49 77
137 44 -41 49
138 41 6 27
139 -38 -15 69
140 47 23 9
141 -19 -3 92
142 45 -16 1
143 -18 -42 11
144 39 -49 41
145 -43 -40 2
146 -49 33 60
147 -23 42 49
148 -16 43 31
149 -36 23 71
150 2 -8 40
